player,pass_grade,run_grade,pass_win,run_stop,prp,adp,rank,team
Mason Graham,81.1,92.6,13.8,12,6.1,6,4,Michigan
Kenneth Grant,75.3,87.5,9.4,7.9,4.9,24,17,Michigan
Walter Nolen,75,91.6,10.9,11.9,6.2,20,25,Ole Miss
Derrick Harmon,86.3,80.5,17.6,7.1,9.1,53,22,Oregon
Darius Alexander,77.8,90.3,12.8,7.9,6.4,63,23,Toledo
TJ Sanders,81.9,77.1,12.6,8.8,7.8,41,36,South Carolina
Tyleik Williams,60.5,88.6,7,7.8,4,33,37,Ohio State
Shemar Turner,60.8,64.3,6.2,7.9,4,46,46,Texas A&M
Alfred Collins,69.8,85,6.9,7.4,3.3,68,49,Texas
Joshua Farmer,71.4,61,9.4,4.6,6.9,57,77,Florida State
Omarr Norman-Lott,81.6,68.1,18.9,6,12.6,51,62,Tennessee
Jordan Phillips,71.8,68.6,10.6,7.6,3.1,99,80,Maryland
Deone Walker,75.4,67.7,10.3,6.6,5.2,87,103,Kentucky
Aeneas Peebles,91.2,78.5,17.7,6.3,7.3,107,113,Virginia Tech
Jamaree Caldwell,71.5,81.6,9.3,7.5,4.8,111,117,Oregon
JJ Pegues,65.6,81.8,9.3,8.9,6.5,110,122,Ole Miss
Rylie Mills,83.1,61.9,14.3,5.3,7.6,131,138,Notre Dame
Simeon Barrow Jr,72,84,11.3,7.8,7.5,146,156,Miami
CJ West,73,88.1,10.2,11.4,5.8,151,110,Indiana
Tim Smith,64.7,78.9,8.3,6.9,3.2,176,192,Alabama
Junior Tafuna,67.2,79.7,7.3,8.1,2.6,187,199,Utah
Zeek Biggers,60.5,63.9,2.8,4.6,1.4,191,202,Georgia Tech
Cam Horsley,68.2,85.1,7.9,14.4,3.3,208,221,Boston College
Cam'Ron Jackson,63.2,80.9,6.8,9.3,4.7,216,235,Flordia
Ty Robinson,79.5,70.2,10.4,8.1,7.1,224,243,Nebraska
Tonka Hemingway,73.5,65.2,10.6,3.5,6.7,244,184,South Carolina
Howard Cross,75.6,66.7,9.3,4.2,4.3,241,282,Notre Dame
Thor Griffith,69.2,84,9.9,8.2,5.5,237,288,Louisville
Joe Evans,54.7,70.9,3.4,1.8,2.6,217,291,UTSA
Eric Gregory,62.1,82.2,6.1,6.9,3.5,225,293,Arkansas
Nazir Stackhouse,58.2,83.1,2.4,3.8,1.4,231,295,Georgia
Nash Hutmacher,69.3,66.2,7,4,4.6,211,303,Nebraska
Joey Slackman,56.6,68.4,4,7,2.6,167,306,Florida
Jay Toia,64.3,70,7.1,5,4.8,164,320,UCLA
Jared Harrison-Hunte,79,74.1,13.7,5.5,7.3,175,325,SMU
Tommy Akingbesote,68,73.7,10.9,6.3,4,133,330,Maryland
