player,rb_grade,pb_grade,zone_grade,gap_grade,pbe,adp,rank,team
Will Campbell,69.7,80.6,74.5,64,97.2,8,6,LSU
Armand Membou,87.6,85.5,87.4,76.7,98.4,23,11,Missouri
Josh Simmons,68.7,82,66.2,71.6,99,18,18,Ohio State
Kelvin Banks Jr,81,89.9,81.5,70.8,98.6,18,20,Texas
Grey Zabel,86.4,93.1,84.5,79.6,98.2,29,29,North Dakota State
Josh Conerly Jr,72.5,83.6,73.7,65.6,98.8,33,34,Oregon
Aireontae Ersery,73.6,77.3,77.3,62.9,97.3,53,60,Minnesota
Donovan Jackson,70.2,69.9,74.3,65.8,94.8,61,67,Ohio State
Cameron Williams,70.8,72.6,84,52.3,93.6,69,92,Texas
Ozzy Trapilo,69.9,80.5,62.9,70.4,96.3,71,74,Boston College
Marcus Mbow,77.2,68,81.3,63.1,93.9,83,76,Purdue
Jonah Savaiinaea,64.2,82.7,69.5,53.2,96.3,77,87,Arizona
Wyatt Milum,89.2,92.5,90,78.7,98.7,75,90,West Virginia
Charles Grant,90.4,88.1,93,67.6,97.2,90,97,William & Mary
Anthony Belton,69.4,87.3,69.9,64.3,96.6,91,98,NC State
Jalen Rivers,65.8,78.8,56.4,67.4,96.5,117,123,Miami
Brandon Crenshaw-Dickson,78.3,81.8,84.1,60.7,95.7,123,127,Florida
Chase Lundt,87.1,73.9,88.1,74.8,97.8,133,138,UCONN
Ajani Cornelius,73.8,72.4,69.2,71.7,92.5,190,146,Oregon
Logan Brown,82.2,78,85.2,71,98.5,220,176,Kansas
Emery Jones Jr,61,67.4,64,61.7,95.3,167,186,LSU
John Williams,65.7,86.3,65.2,63.5,98.9,178,188,Cincinnati
Jack Nelson,75.2,82.2,86.4,57.2,94.7,180,195,Wisconsin
Hollin Pierce,83.5,79.5,82.1,76,96.6,232,231,Rutgers
Xavier Truss,57.4,71.7,60.2,53.4,96.2,243,254,Gerogia
Trey Wedig,85.1,74.2,84.5,74.1,96.5,245,281,Indiana
Carson Vinson,72.1,81.7,66.5,67.3,97.9,229,284,Alabama A&M
Esa Pole,57.3,85.8,68.1,45.3,98.3,192,196,Washington State
Dalton Cooper,60.8,85.5,66.4,55.7,97.2,190,309,Oklahoma State
Bryce Cabeldue,76.6,80.2,81,64.1,96.2,203,315,Kansas
Gerad Christian-Lichtenhan,77.5,86.4,77.4,70.7,95.8,189,318,Oregon State
Gareth Warren,56.2,68.4,61.2,53.1,93.7,114,324,Lindenwood
