player,rec_grade,rb_grade,yprr,drop,ctc,adp,rank,team
Harold Fannin,96.3,75.2,3.76,3.3,54.5,93,100,Bowling Green
Tyler Warren,93.3,52.8,2.77,2.8,61.9,12,8,Penn State
Colston Loveland,90.6,53.3,2.67,3.4,20,30,29,Michigan
Gunnar Helm,73.1,43.5,1.64,3.2,50,86,114,Texas
Elijah Arroyo,73.6,61.3,1.69,2.8,20,78,58,Miami
Mason Taylor,69.4,59.1,1.23,1.8,50,86,71,LSU
Terrance Ferguson,77.3,60.2,2.04,8.5,25,98,75,Oregon
Mitchell Evans,65.9,60.7,1.39,6.5,72.7,142,142,Notre Dame
Benjamin Yurosek,59,64.4,1.24,6.3,33.3,148,146,Georgia
Jake Briningstool,61.2,50.9,1.28,7.5,42.1,152,153,Clemson
Jackson Hawes,59.7,74.7,1.02,11.1,0,161,163,Georgia Tech
Thomas Fidone,65.5,56.8,1.42,2.7,50,170,170,Nebraska
Caden Prieskorn,70.3,61.6,1.64,3.6,75,184,191,Ole Miss
Jalin Conyers,68.3,80.1,1.42,6.3,60,187,197,Texas Tech
Luke Lachey,65.6,51.3,1.11,3.4,50,206,220,Iowa
Oronde Gadsden,83,66,1.93,3.9,60.7,211,227,Syracuse
Moliki Matavao,66.3,56.3,1.63,2.4,37.5,246,260,UCLA
Brant Kuithe,79.8,41.6,2.55,10.3,20,237,275,Utah
Bryson Nesbit,66.4,36,1.5,17.2,37.5,224,305,UNC
CJ Dippre,58.4,64.8,1.26,12.5,66.7,202,216,Alabama
Rivaldo Fairweather,58.7,59.5,1.27,6.1,37.5,102,326,Auburn
